Date,Description,Amount,Balance
2025-04-01,Salary Deposit,4200.00,15230.50
2025-04-03,Walmart Grocery,-87.32,15143.18
2025-04-05,Netflix Subscription,-15.99,15127.19
2025-04-07,Shell Gas Station,-52.40,15074.79
2025-04-09,Apartment Rent,-1200.00,13874.79
2025-04-11,Starbucks Coffee,-6.45,13868.34
2025-04-14,Amazon Purchase,-34.99,13833.35
2025-04-16,Electric Bill Payment,-89.00,13744.35
2025-04-18,Restaurant Dinner,-42.50,13701.85
2025-04-20,Gym Membership,-49.99,13651.86
2025-04-22,Uber Ride,-18.75,13633.11
2025-04-25,Freelance Invoice,850.00,14483.11
2025-04-28,Phone Bill,-65.00,14418.11
2025-05-01,Salary Deposit,4200.00,18618.11
2025-05-02,Apartment Rent,-1200.00,17418.11
2025-05-04,Costco Grocery,-112.47,17305.64
2025-05-06,Spotify Premium,-9.99,17295.65
2025-05-08,Gas Station,-48.30,17247.35
2025-05-10,Water Bill,-35.00,17212.35
2025-05-12,Target Shopping,-67.80,17144.55
2025-05-14,McDonald's,-12.99,17131.56
2025-05-16,Adobe Subscription,-54.99,17076.57
2025-05-19,Movie Theater,-28.00,17048.57
2025-05-21,Internet Bill,-79.99,16968.58
2025-05-23,Pharmacy CVS,-23.45,16945.13
2025-05-25,Freelance Invoice,650.00,17595.13
2025-05-28,Car Insurance,-145.00,17450.13
2025-06-01,Salary Deposit,4200.00,21650.13
2025-06-02,Apartment Rent,-1200.00,20450.13
2025-06-04,Whole Foods Grocery,-95.62,20354.51
2025-06-06,Netflix Subscription,-15.99,20338.52
2025-06-08,Uber Ride,-22.30,20316.22
2025-06-10,Electric Bill,-92.00,20224.22
2025-06-12,H&M Clothing,-89.99,20134.23
2025-06-14,Sushi Restaurant,-38.75,20095.48
2025-06-16,Gym Membership,-49.99,20045.49
2025-06-18,Phone Bill,-65.00,19980.49
2025-06-20,Parking Garage,-15.00,19965.49
2025-06-22,Dividend Payment,45.30,20010.79
2025-06-25,Freelance Invoice,750.00,20760.79
2025-06-28,Spotify Premium,-9.99,20750.80
2025-07-01,Salary Deposit,4350.00,25100.80
2025-07-02,Apartment Rent,-1200.00,23900.80
2025-07-04,Walmart Grocery,-78.90,23821.90
2025-07-06,Gas Station,-55.20,23766.70
2025-07-08,Water Bill,-35.00,23731.70
2025-07-10,Amazon Prime,-14.99,23716.71
2025-07-12,Pizza Delivery,-24.50,23692.21
2025-07-14,Dentist Visit,-150.00,23542.21
2025-07-16,Internet Bill,-79.99,23462.22
2025-07-18,Concert Tickets,-120.00,23342.22
2025-07-20,Udemy Course,-12.99,23329.23
2025-07-22,Uber Ride,-16.40,23312.83
2025-07-25,Freelance Invoice,900.00,24212.83
2025-07-28,Electric Bill,-88.00,24124.83
2025-08-01,Salary Deposit,4350.00,28474.83
2025-08-02,Apartment Rent,-1200.00,27274.83
2025-08-04,Costco Grocery,-134.20,27140.63
2025-08-06,Netflix Subscription,-15.99,27124.64
2025-08-08,Shell Gas Station,-61.30,27063.34
2025-08-10,Gym Membership,-49.99,27013.35
2025-08-12,Nike Shoes,-129.99,26883.36
2025-08-14,Restaurant,-45.00,26838.36
2025-08-16,Phone Bill,-65.00,26773.36
2025-08-18,Spotify Premium,-9.99,26763.37
2025-08-20,Car Maintenance,-320.00,26443.37
2025-08-22,Movie Streaming,-7.99,26435.38
2025-08-25,Freelance Invoice,700.00,27135.38
2025-08-28,Dividend Payment,52.10,27187.48
2025-09-01,Salary Deposit,4350.00,31537.48
2025-09-02,Apartment Rent,-1200.00,30337.48
2025-09-04,Grocery Store,-92.15,30245.33
2025-09-06,Gas Station,-47.80,30197.53
2025-09-08,Electric Bill,-95.00,30102.53
2025-09-10,Water Bill,-35.00,30067.53
2025-09-12,Best Buy Electronics,-199.99,29867.54
2025-09-14,Coffee Shop,-8.50,29859.04
2025-09-16,Internet Bill,-79.99,29779.05
2025-09-18,Gym Membership,-49.99,29729.06
2025-09-20,Pharmacy,-18.75,29710.31
2025-09-22,Uber Ride,-21.50,29688.81
2025-09-25,Freelance Invoice,800.00,30488.81
2025-09-28,Phone Bill,-65.00,30423.81
2025-10-01,Salary Deposit,4350.00,34773.81
2025-10-02,Apartment Rent,-1200.00,33573.81
2025-10-04,Walmart Grocery,-101.30,33472.51
2025-10-06,Netflix Subscription,-15.99,33456.52
2025-10-08,Gas Station,-50.00,33406.52
2025-10-10,Adobe Subscription,-54.99,33351.53
2025-10-12,Doctor Visit,-75.00,33276.53
2025-10-14,Restaurant,-55.00,33221.53
2025-10-16,Spotify Premium,-9.99,33211.54
2025-10-18,Halloween Costume,-35.00,33176.54
2025-10-20,Uber Ride,-14.20,33162.34
2025-10-22,Coursera Subscription,-39.99,33122.35
2025-10-25,Freelance Invoice,850.00,33972.35
2025-10-28,Electric Bill,-90.00,33882.35
2025-11-01,Salary Deposit,4350.00,38232.35
2025-11-02,Apartment Rent,-1200.00,37032.35
2025-11-04,Costco Grocery,-148.70,36883.65
2025-11-06,Gas Station,-53.40,36830.25
2025-11-08,Internet Bill,-79.99,36750.26
2025-11-10,Gym Membership,-49.99,36700.27
2025-11-12,Phone Bill,-65.00,36635.27
2025-11-14,Black Friday Shopping,-234.50,36400.77
2025-11-16,Streaming Services,-23.98,36376.79
2025-11-18,Restaurant,-62.00,36314.79
2025-11-20,Parking,-10.00,36304.79
2025-11-22,Dividend Payment,58.40,36363.19
